id,name,category,brandModel,condition,age,price,location,pickupWindow,bundleEligible,status,notes,photo1,photo2,photo3
1,"TV LG 65"" OLED",Electronics,,Very Good,6,750.0,Living Room,,,Available,,,,
2,Brother Printer (MFCL2700W),Electronics,,Very Good,5,200.0,Bedroom 4,,,Available,"Brother MFCL2700DW All-In One Laser Printer with Wireless Networking and Duplex Printing, Amazon Dash Replenishment Ready",,,
3,Canon Pixma color printer (MG2525),Electronics,,Very Good,4,50.0,Bedroom 4,,,Available,,,,
4,Klipsch Sound Bar with Subwoofer,Electronics,,Good,,250.0,Living Room,,,Available,,,,
5,King Bed,Furniture,,Good,10+,200.0,Master Bedroom,,,Available,,Link,,
6,Queen Bed,Furniture,,Good,10+,150.0,Bedroom 2,,,Available,,Link,,
7,3 seater recliner,Furniture,,Good,10+,250.0,Living Room,,,Available,Reclining mechanism works smoothly/Synthetic leather peeling; couch is structurally sound. Suitable for a reupholstery project or garage/basement use.,Link,,
8,Love seat recliner,Furniture,,Good,10+,200.0,Living Room,,,Available,Reclining mechanism works smoothly/Synthetic leather peeling; couch is structurally sound. Suitable for a reupholstery project or garage/basement use.,Link,,
9,Big bad couch,Furniture,,Fair,10+,100.0,Living Room,,,Available,Synthetic leather peeling; couch is structurally sound. Suitable for a reupholstery project or garage/basement use.,Link,,
10,Dining table,Furniture,,Very Good,10+,250.0,Kitchen,,,Available,"6 seater, solid wood, recently revarnished",Link,,
11,Entertainment center,Furniture,,Good,10+,300.0,Kitchen,,,Available,,,,
12,TV stand,Furniture,,Very Good,2,50.0,Living Room,,,Available,,Link,,
13,Recliner,Furniture,,Very Good,2,100.0,Bedroom 3,,,Available,,Link,,
14,Playroom table and chair set,Furniture,,Good,,50.0,Bedroom 4,,,Available,,,,
15,Office chair,Furniture,,Like New,<1,100.0,Bedroom 4,,,Available,,Link,,
16,Chest Drawer 1,Furniture,,Good,,50.0,Master Bedroom,,,Available,,,,
17,Chest Drawer 2,Furniture,,Good,,50.0,Bedroom 3,,,Available,,,,
18,Chest Drawer 3,Furniture,,Good,,25.0,Bedroom 4,,,Available,Has some water damage at the base and surface,,,
19,Side table 1,Furniture,,Very Good,,100.0,Bedroom 2,,,Available,,,,
20,Side table 2,Furniture,,Very Good,,100.0,Bedroom 2,,,Available,,,,
21,Patio Umbrella,Furniture,,Very Good,5+,50.0,,,,Available,,,,
22,Coffee Table,Furniture,,Like New,1,60.0,,,,Available,Product Link: https://www.amazon.com/dp/B0BLV6PK3D?ref_=ppx_hzsearch_conn_dt_b_fed_asin_title_2&th=1,Link,,
23,Tempurpedic Mattress Topper King Size,Furniture,,Very Good,3,100.0,,,,Available,,,,
24,Tempurpedic Mattress Topper Queen Size,Furniture,,Very Good,3,75.0,,,,Available,,,,
25,Honda Mower,Garage / Tools,,Good,10+,75.0,Garrage,,,Pending,,,,
26,Blower (chorded),Garage / Tools,,Good,10+,25.0,Garrage,,,Pending,,,,
27,Shop vacuum,Garage / Tools,,Good,10+,50.0,Garrage,,,Pending,,,,
28,Leaf vacuum,Garage / Tools,,Good,8,50.0,Garrage,,,Pending,,,,
29,Outside two chair and table set,Home & Kitchen,,Very Good,5+,100.0,,,,Available,,,,
30,Bike 1,Kids,,Good,,,Garrage,,,Available,,,,
31,Bike 2,Kids,,Good,,,Garrage,,,Available,,,,
32,Bike 3,Kids,,Good,,,Garrage,,,Available,,,,
33,Carpet Round,Miscellaneous,,Good,,100.0,Bedroom 4,,,Available,,,,
34,Carpet Square,Miscellaneous,,Very Good,,75.0,Living Room,,,Available,,,,
35,Honda Pilot 2019 Touring,Transport,,Very Good,7,28000.0,,,,Pending,"25000 miles, Price based in KBB.",,,
36,Toyota Rav 4 Limited Edition 2018,Transport,,Very Good,8,24000.0,,,,Available,"45000 miles, Price based on KBB.",,,
